,Titteli,Työnantaja,Sijainti,Linkki,Julkaistu
0,Kodin hälytysjärjestelmämyyjä,Henkilöstöpalvelu Hirmu oy,Tampere,duunitori.fi/tyopaikat/tyo/kodin-halytysjarjestelmamyyja-stse-12446625,Julkaistu 18.9.
1,Asiantuntijamyyjä,Henkilöstöpalvelu Hirmu oy,Tampere,duunitori.fi/tyopaikat/tyo/asiantuntijamyyja-stse-12446919,Julkaistu 18.9.
2,Hälytys- ja turvallisuusratkaisujen myyjä,Henkilöstöpalvelu Hirmu oy,Tampere,duunitori.fi/tyopaikat/tyo/halytys-ja-turvallisuusratkaisujen-myyja-stse-12446624,Julkaistu 18.9.
3,Turvallisuusmyyjä,Henkilöstöpalvelu Hirmu oy,Tampere,duunitori.fi/tyopaikat/tyo/turvallisuusmyyja-stse-12446546,Julkaistu 18.9.
4,Hesarin ständimyyjä,Nordic Sales Crew / Henkilöstöpalvelu Hirmu oy,Tampere,duunitori.fi/tyopaikat/tyo/hesarin-standimyyja-stse-12446621,Julkaistu 18.9.
5,Osaaikainen myyjä Stadium Outlet Tampere,Stadium Oy,Tampere,duunitori.fi/tyopaikat/tyo/osaaikainen-myyja-stadium-outlet-tampere-stse-12446902,Julkaistu 18.9.
6,Tiimihenkinen myyjä,Henkilöstöpalvelu Hirmu oy,Tampere,duunitori.fi/tyopaikat/tyo/tiimihenkinen-myyja-stse-12446648,Julkaistu 18.9.
7,Tekninen myyjä,Würth Oy,Tampere,duunitori.fi/tyopaikat/tyo/tekninen-myyja-stse-12446647,Julkaistu 18.9.
8,Kodin hälytysjärjestelmämyyjä,Henkilöstöpalvelu Hirmu Oy,Tampere,duunitori.fi/tyopaikat/tyo/kodin-halytysjarjestelmamyyja-tampere-sdsuu-12446399,Julkaistu 18.9.
9,Myyjäduo WWF varainhankintaan,LiveRing Oy,Finland ja 16 muuta,duunitori.fi/tyopaikat/tyo/livering-myyjaduo-wwf-varainhankintaan-finland-sdsuu-12446153,Julkaistu 18.9.
10,Sähkömyyjiä Helen-projektiin,LiveRing Oy,Uusimaa ja 6 muuta,duunitori.fi/tyopaikat/tyo/livering-sahkomyyjia-helen-projektiin-uusimaa-sdsuu-12446143,Julkaistu 18.9.
11,Myyjiä WWF:n varainhankintaan,LiveRing Oy,Tampere,duunitori.fi/tyopaikat/tyo/livering-myyjia-wwfn-varainhankintaan-tampere-sdsuu-12443443,Julkaistu 18.9.
12,Innokas etämyyjä,Henkilöstöpalvelu Hirmu Oy,Tampere,duunitori.fi/tyopaikat/tyo/innokas-etamyyja-tampere-sdsuu-12446397,Julkaistu 18.9.
13,Myynninnälkäinen turvallisuusmyyjä,Henkilöstöpalvelu Hirmu Oy,Tampere,duunitori.fi/tyopaikat/tyo/myynninnalkainen-turvallisuusmyyja-tampere-sdsuu-12446401,Julkaistu 18.9.
14,Energinen etämyyjä,Henkilöstöpalvelu Hirmu Oy,Tampere,duunitori.fi/tyopaikat/tyo/energinen-etamyyja-tampere-sdsuu-12446389,Julkaistu 18.9.
